Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Investment and Venture Fund of the Republic of Tatarstan,https://www.crunchbase.com/organization/investment-and-venture-fund-of-the-republic-of-tatarstan,6,,"Kazan, Tatarstan, Russian Federation",Investment and Venture Fund of the Republic of Tatarstan is a non-profit organization created to help foster innovation potential.,"Government Office, Venture Capital",Grant,3,"121,441"
Sichuan Provincial Digital Economy Fund,https://www.crunchbase.com/organization/sichuan-provincial-digital-economy-fund,1,1,"Sichuan, Gansu, China",Sichuan Provincial Digital Economy Fund is an investment firm.,Government Office,,,"121,427"
Rainforest Partners,https://www.crunchbase.com/organization/rainforest-partners,,,"Austin, Texas, United States","We envision a world in which tropical rainforests thrive and support a balanced, healthy planet.",Government Office,,,"121,338"
TANEO fund,https://www.crunchbase.com/organization/taneo-fund,2,,"Athens, Attiki, Greece",TANEO Fund is a Grecian fund of funds that aims to support the development of venture capitals focused on SMEs.,"Fund Of Funds, Government Office","Grant, Seed",1,"121,023"
The Israeli inventions Authority,https://www.crunchbase.com/organization/the-israeli-inventions-authority,2,,"Jerusalem, Yerushalayim, Israel",The Israeli Inventions Authority is in charge of creating the nation's innovation resources and innovation policy.,Government Office,Early Stage Venture,2,"121,011"
Ministry of Economic Affairs,https://www.crunchbase.com/organization/ministry-of-economic-affairs-taiwan,1,,,The Ministry of Economic Affairs is the ministry of Taiwan responsible for formulating policies and laws,Government Office,,1,"120,663"
Collegiate Entrepreneurs' Organization,https://www.crunchbase.com/organization/collegiate-entrepreneurs-organization,,,"Chicago, Illinois, United States",Collegiate Entrepreneurs’ Organization SM (CEO) is the premier entrepreneurship network with chapters on university campuses across North,University Program,,,"120,480"
Pennsylvania Infrastructure Investment Authority,https://www.crunchbase.com/organization/pennsylvania-infrastructure-investment-authority,2,,"Harrisburg, Pennsylvania, United States","PENNVEST serves the communities and citizens of Pennsylvania by funding sewer, storm water and drinking water projects.",Government Office,,2,"120,354"
Nedermaas Hightech Ventures,https://www.crunchbase.com/organization/nedermaas-hightech-ventures,8,2,"Maastricht, Limburg, The Netherlands",Nedermaas Ventures focuses on pre-seed and seed investment opportunities across a broad spectrum of high technology fields.,"Angel Group, Government Office",Late Stage Venture,1,"120,090"
Floralis,https://www.crunchbase.com/organization/floralis,1,,"Gières, Rhone-Alpes, France",Floralis provides raw technologies into tangible market.,University Program,Seed,,"120,059"
European Social Fund (ESF),https://www.crunchbase.com/organization/european-social-fund-esf,11,2,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",European Social Fund is an investment Firm.,Government Office,,4,"119,861"
Australian Office of Financial Management,https://www.crunchbase.com/organization/australian-office-of-financial-management,1,,"Parkes, New South Wales, Australia",Australian Office of Financial Management offering more options for businesses that struggle to secure loans.,Government Office,,1,"119,558"
Korea Software Industry Association,https://www.crunchbase.com/organization/korea-software-industry-association,1,,"Seoul, Seoul-t'ukpyolsi, South Korea",Korea Software Industry Association,Government Office,Grant,1,"119,438"
SPACE Grants,https://www.crunchbase.com/organization/space-grants,1,,"Boston, Massachusetts, United States","SPACE Grants helps small businesses, with a priority for industries that were most affected pandemic.",Government Office,,1,"119,415"
National Urban Renewal Agency,https://www.crunchbase.com/organization/national-urban-renewal-agency,1,,"Paris, Ile-de-France, France",National Urban Renewal Agency is a public establishment that finances and supports the transformation of districts of the City Policy.,Government Office,,,"119,063"
Innovative Finance for National Forests Grant Program,https://www.crunchbase.com/organization/innovative-finance-for-national-forests-grant-program,1,,"Missoula, Montana, United States",Innovative Finance for National Forests Grant Program supports the development and implementation of innovative finance models.,Government Office,,1,"118,966"
Government of Karnataka,https://www.crunchbase.com/organization/government-of-karnataka-elevate-2018,5,1,"Bengaluru, Karnataka, India",Karnataka Startup Cell,Government Office,,1,"118,757"
Brandeis Virtual Incubator,https://www.crunchbase.com/organization/brandeis-virtual-incubator,,,"Waltham, Massachusetts, United States","Brandeis Virtual Incubator fosters entrepreneurship in Brandeis students, post-doctoral fellows, staff, and faculty.",University Program,,,"118,394"
Center for New Ventures & Entrepreneurship,https://www.crunchbase.com/organization/center-for-new-ventures-entrepreneurship,,,"College Station, Texas, United States",Center for New Ventures & Entrepreneurship was founded in 1999,University Program,,,"118,009"
Creative Export Canada,https://www.crunchbase.com/organization/creative-export-canada,28,,"Gatineau, Quebec, Canada",Creative Export Canada helps Canadian industries reach their international goals and promotes Canadian works abroad.,Government Office,Grant,28,"117,995"
Innovate UK Smart Grant,https://www.crunchbase.com/organization/innovate-uk-smart-grant,4,,,Government National Funding Agency,Government Office,,2,"117,874"
Kobe University Capital,https://www.crunchbase.com/organization/kobe-university-capital,1,,"Kobe, Kyoto, Japan",Kobe University Capital operates as an investment firm.,University Program,,,"117,701"
PR Department of Economic Development,https://www.crunchbase.com/organization/pr-department-of-economic-development,1,,"San Juan, NA - Puerto Rico, Puerto Rico",Department of Economic Development Puerto Rico,Government Office,,1,"117,531"
Eesti Arengufond,https://www.crunchbase.com/organization/eesti-arengufond,4,2,"Tallinn, Harjumaa, Estonia",Arengufond aims to contribute to the economic development of Estonia by investing in innovative companies and helping them emerge.,Government Office,"Early Stage Venture, Seed",,"117,351"
American University Incubator,https://www.crunchbase.com/organization/american-university-incubator,1,,,Entrepreneurship Incubator program empowers students & recent alumni to create sustainable entrepreneurial endeavors.,University Program,,,"117,090"
Ministère de l'Économie,https://www.crunchbase.com/organization/ministere-de-l-economie,3,,"Luxembourg, Luxembourg, Luxembourg",Ministry of the Grand Duchy of Luxembourg Economy,Government Office,,2,"116,950"
FAPERJ,https://www.crunchbase.com/organization/faperj,2,,"Rio De Janeiro, Rio de Janeiro, Brazil",Fundação de Amparo a Pesquisa do Rio de Janeiro,"Angel Group, Government Office",Seed,1,"116,946"
Joshua Venture Group,https://www.crunchbase.com/organization/joshua-venture-group,,,"New York, New York, United States",Joshua Venture Group identifies emerging leaders in the Jewish world and champions their visions for social change.,Government Office,,,"116,685"
Maryland Stem Cell Research Fund (MSCRF),https://www.crunchbase.com/organization/maryland-stem-cell-research-fund-mscrf,4,,"Columbia, Maryland, United States",Maryland Stem Cell Research Fund (MSCRF) is a TEDCO program.,Government Office,,4,"116,658"
TeknoSeed,https://www.crunchbase.com/organization/teknoseed,5,2,"Lund, Skane Lan, Sweden",TeknoSeed is a Sweden-based financial services provider that funds early stage venture capitals involved in R&D.,"Government Office, Venture Capital",Early Stage Venture,2,"116,478"
Iowa Innovation Challenge,https://www.crunchbase.com/organization/iowa-innovation-challenge,8,,"Iowa City, Iowa, United States",Iowa Innovation Challenge advance and support the most innovative and entrepreneurial projects on campus.,Government Office,Grant,8,"116,385"
Rhode Island Science & Technology Advisory Council,https://www.crunchbase.com/organization/rhode-island-science-technology-advisory-council,1,,"Providence, Rhode Island, United States",Rhode Island Science & Technology Advisory Council is a company that specializes in research and development services.,Government Office,,,"116,275"
Ministère de l'Économie et de l'Innovation,https://www.crunchbase.com/organization/ministère-de-l-économie-et-de-l-innovation,11,1,"Vilnius, Vilniaus Apskritis, Lithuania",Ministère de l'Économie et de l'Innovation,Government Office,,4,"116,236"
Taishan Urban Construction Group,https://www.crunchbase.com/organization/taishan-urban-construction-group,1,,"Taishan, Guangdong, China",Taishan Urban Construction Group is a municipal state-owned enterprise that offers municipal public services and environmental development.,Government Office,,,"116,007"
Center for Innovation and Entrepreneurship,https://www.crunchbase.com/organization/center-for-innovation-and-entrepreneurship,,,"Claremont, California, United States",Center for Innovation and Entrepreneurship is an education facility that fosters the entrepreneurial initiatives of its students.,University Program,,,"115,940"
New Zealand Government,https://www.crunchbase.com/organization/new-zealand-government,1,,"Wellington, Wellington, New Zealand",New Zealand Government is a guide to find and use government services.,Government Office,,1,"115,870"
Nanjing University Biomedical Industry Alumni Association,https://www.crunchbase.com/organization/nanjing-university-biomedical-industry-alumni-association,1,,"Nanjing, Jiangsu, China",Nanjing University Biomedical Industry Alumni Association,University Program,,,"115,766"
LA County Arts Commission,https://www.crunchbase.com/organization/la-county-arts-commission,2,,"Los Angeles, California, United States","LA County Arts Commission fosters excellence, diversity, vitality, understanding, and accessibility of the arts in Los Angeles County",Government Office,,2,"115,667"
Area 31,https://www.crunchbase.com/organization/area-31,1,,"Madrid, Madrid, Spain",Area 31 is an open space for entrepreneurship and innovation at IE Business School.,"Incubator, University Program",,,"115,407"
